Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	3rd	address	1st.family	1st.fictional-family	2nd.family	2nd.fictional-family	3rd.family	3rd.fictional-family	1st.proper-name	2nd.proper-name	3rd.proper-name	1st.quantifier	2nd.quantifier	3rd.quantifier	
Texts	gogeki0000	24	2244	2249	ကျုပ်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	25	2385	2389	တို့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	26	2492	2502	အစ်ကိုတို့					1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	27	2684	2692	မခင်ချော					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	28	2694	2698	တို့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	29	2767	2770	မင်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	30	2918	2922	မင်း					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	31	2947	2951	တို့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	32	2977	2981	မင်း					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	33	3044	3048	မင်း					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	34	3193	3197	မင်း					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	35	3264	3274	အစ်ကိုတို့					1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	36	3337	3343	ကျွန်မ					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	37	3419	3427	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	38	3498	3501	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	39	3630	3633	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	40	3648	3650	သူ					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	41	3719	3724	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	42	3737	3739	သူ					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	43	3765	3770	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	44	3821	3826	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	45	3913	3916	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	46	3971	3980	ကျွန်တော်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	158	4032	4040	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Texts	gogeki0000	48	4284	4291	ခင်ဗျာ့					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	49	4337	4344	ခင်ဗျာ့					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	50	4593	4599	ကျွန်မ					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	51	4665	4678	ကျွန်တော်တို့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	52	4845	4849	ရှင်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	53	5128	5141	ကျွန်တော်တို့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	54	5222	5227	ရှင့်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	55	5258	5266	လူတိုင်း					1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Texts	gogeki0000	56	5516	5525	ကျွန်တော်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	57	5526	5533	ခင်ဗျာ့					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	58	5577	5586	ကျွန်တော်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	59	5660	5667	ခင်ဗျာ့					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	60	5842	5851	ကျွန်တော်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	61	5875	5882	ခင်ဗျာ့					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	62	5935	5945	ကျွန်တော့်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	65	6125	6133	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Texts	gogeki0000	64	6172	6181	ကျွန်တော်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	66	6289	6299	ကျွန်တော့်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	148	6326	6333	ခင်ဗျာ့					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	67	6410	6418	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Texts	gogeki0000	68	6419	6426	ခင်ဗျား					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	159	6549	6556	ကိုဘတော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	69	6567	6570	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	150	6722	6729	မခင်ချေ					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	70	6743	6746	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	71	6777	6780	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	72	7009	7015	သူတို့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	73	7808	7811	ငါ့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	74	7954	7961	ကိုဘတော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	75	8066	8069	ငါ့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	76	8132	8135	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	77	8378	8385	ကိုဘတော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	78	8502	8507	ရှင့်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	151	8580	8582	သူ					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	79	9169	9174	ဦးလေး					1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	80	9355	9365	ကျွန်တော့်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	81	9747	9752	ဦးလေး					1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	82	9938	9941	အဖေ					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	83	10070	10073	အဖေ					1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	84	10149	10156	ကိုဘတော					1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Texts	gogeki0000	85	10190	10193	အဖေ					1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	86	10242	10245	ကျမ					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	87	10299	10302	နင်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	160	10511	10518	ကိုဘတော					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	108	10565	10568	ကျမ					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	90	10573	10578	ရှင့်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	91	10628	10631	ကျမ					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	92	10632	10636	အဖေ့					1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Texts	gogeki0000	93	10831	10836	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	94	10842	10848	ခင်ဗျာ					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	95	10887	10892	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	96	10978	10983	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	97	11073	11079	ခင်ဗျာ					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	100	11128	11135	ခင်ဗျား					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	101	11136	11141	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	102	11206	11210	အဖေ့					1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Texts	gogeki0000	103	11308	11315	ခင်ဗျား					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	104	11321	11326	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	161	11373	11381	မခင်ချော					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	106	11431	11438	ကိုဘတော					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	107	11628	11633	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	109	11782	11787	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	110	11919	11924	ဦးကြီ					1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Texts	gogeki0000	111	12132	12141	ကျုပ်တို့					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	112	12204	12212	မခင်ချော					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	113	12213	12218	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	114	12499	12505	ဦးကြီး					1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Texts	gogeki0000	115	12718	12724	ဦးကြီး					1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Texts	gogeki0000	116	12791	12795	ရှင်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	117	12845	12850	ရှင့်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	118	13267	13270	ကျမ					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	119	13291	13296	ရှင့်					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	120	13563	13566	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	121	13618	13620	သူ					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	122	14016	14018	သူ					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	123	14421	14429	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	124	14573	14581	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	125	14611	14614	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	126	14695	14702	ကိုဘတော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	152	14751	14759	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	128	14805	14812	 သူတို့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	129	14949	14954	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	130	14964	14969	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	131	15016	15021	ကျုပ်					1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	132	15144	15152	မခင်ချော					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	133	15153	15161	မခင်ချော					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	134	15162	15166	သမီး					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	135	15167	15171	သမီး					1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	136	15203	15211	မခင်ချော					1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Texts	gogeki0000	137	15214	15217	သူ့					1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texts	gogeki0000	138	15296	15301	အများ					1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
